演员,关系,戏园
慈瑞泉,演出于,吉祥戏院
慈瑞泉,演出于,同乐茶园
慈瑞泉,演出于,第一舞台
慈瑞泉,演出于,景泰茶园
慈瑞泉,演出于,新新大戏院
慈瑞泉,演出于,消闲友会
程继仙,演出于,三庆园
程继仙,演出于,文明茶园
程继仙,演出于,吉祥园
程继仙,演出于,吉祥园双庆社
程继仙,演出于,哈尔飞戏院
程继仙,演出于,第一舞台
白牡丹,演出于,三庆园
白牡丹,演出于,广兴茶园
白牡丹,演出于,牡丹园春庆社
白牡丹,演出于,乐舞台
白牡丹,演出于,民乐茶园
白牡丹,演出于,吉祥园
白牡丹,演出于,同乐茶园
白牡丹,演出于,庆乐园
白牡丹,演出于,庆乐茶园
白牡丹,演出于,第一舞台
白牡丹,演出于,燕喜堂
白牡丹,演出于,燕舞台
白牡丹,演出于,堂会义务戏戏单
孙砚亭,演出于,三庆园
孙砚亭,演出于,同乐茶园
张彩林,演出于,三庆园
张彩林,演出于,广和楼
张彩林,演出于,牡丹园春庆社
张彩林,演出于,文明茶园
张彩林,演出于,春仙茶园
高庆奎,演出于,三庆园
高庆奎,演出于,天乐茶园
高庆奎,演出于,华乐园
高庆奎,演出于,文明茶园
高庆奎,演出于,吉祥园
高庆奎,演出于,吉祥园双庆社
高庆奎,演出于,春仙茶园
麻木子,演出于,三庆园
麻木子,演出于,大舞台
麻木子,演出于,广兴茶园
麻木子,演出于,丹桂茶园
裘桂山,演出于,三庆园
裘桂山,演出于,吉祥园双庆社
傅小山,演出于,三庆园
傅小山,演出于,华乐园
傅小山,演出于,开明戏院
傅小山,演出于,吉祥园
傅小山,演出于,吉祥园双庆社
傅小山,演出于,同乐茶园
傅小山,演出于,庆乐茶园
傅小山,演出于,哈尔飞戏院
傅小山,演出于,景泰茶园
朱相泉,演出于,三庆园
杨韵芳,演出于,三庆园
杨韵芳,演出于,文明茶园
朱桂芬,演出于,三庆园
朱桂芬,演出于,吉祥茶园
朱桂芬,演出于,同乐茶园
朱桂芬,演出于,春仙茶园
王三黑,演出于,三庆园
王三黑,演出于,民乐茶园
王三黑,演出于,庆乐茶园
许德义,演出于,三庆园
许德义,演出于,中和戏院
许德义,演出于,长安大戏院
许德义,演出于,吉祥茶园
许德义,演出于,同乐茶园
许德义,演出于,庆乐园
许德义,演出于,庆乐茶园
许德义,演出于,哈尔飞戏院
迟月亭,演出于,三庆园
迟月亭,演出于,广和楼
迟月亭,演出于,长安大戏院
迟月亭,演出于,吉祥园双庆社
迟月亭,演出于,吉祥园
迟月亭,演出于,吉祥大戏院
迟月亭,演出于,吉祥茶园
迟月亭,演出于,哈尔飞戏院
迟月亭,演出于,第一舞台
范宝亭,演出于,三庆园
范宝亭,演出于,中和戏院
范宝亭,演出于,中和大戏院
范宝亭,演出于,华乐园
范宝亭,演出于,华乐戏院
范宝亭,演出于,开明戏院
范宝亭,演出于,长安大戏院
范宝亭,演出于,长安戏院
范宝亭,演出于,吉祥园双庆社
范宝亭,演出于,吉祥园
范宝亭,演出于,吉祥戏院
范宝亭,演出于,吉祥大戏院
范宝亭,演出于,第一舞台
田春喜,演出于,三庆园
田春喜,演出于,文明茶园
田春喜,演出于,吉祥园
田春喜,演出于,吉祥园双庆社
田春喜,演出于,同乐园松庆社
